entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.22222222222222224, 0.22222220936507917, 0.22222221936507935, 0.11111113968254008, 0.22222220936507917]","[0.22222222222222224, 0.22222220936507917, 0.22222221936507935, 0.11111113968254008, 0.22222220936507917]","[0.22222222222222224, 0.18518517518518457, 0.22222222222222224, 0.11111111111111112, 0.18518517518518457]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.18518517518518457, 0.22222222222222224]","[0.22222223097222216, 0.22222221972222223, 0.22222221972222234, 0.11111110986111111, 0.22222221972222223]","[[0.22222223097222216, 0.22222221972222223, 0.22222221972222234, 0.11111110986111111, 0.22222221972222223], [0.22222223097222216, 0.22222221972222223, 0.22222221972222234, 0.11111110986111111, 0.22222221972222223]]",792,"[0.22222223097222216, 0.18518517355639752, 0.22222221972222223, 0.11111110986111113, 0.18518517355639752]","[0.22222223097222216, 0.22222221972222223, 0.22222221972222225, 0.18518517355639752, 0.22222221972222223]","[0.22222223097222216, 0.22222221972222223, 0.22222221972222223, 0.22222221972222223, 0.22222221972222223]","[0.22222222222222224, 0.22222223936507962, 0.22222221936507935, 0.22222220936507917, 0.22222220936507917]","[0.22222223097222216, 0.22222221972222223, 0.22222221972222234, 0.11111110986111111, 0.22222221972222223]","[0.22222221936507935, 0.22222220936507917, 0.1111111196825398, 0.11111110968253968, 0.22222220936507917]","[0.22222221972222223, 0.22222221972222223, 0.11111110986111111, 0.11111110986111111, 0.22222221972222223]","[[0.22222222222222224, 0.22222220936507917, 0.22222221936507935, 0.11111113968254008, 0.22222220936507917], [0.22222222222222224, 0.22222220936507917, 0.22222221936507935, 0.11111113968254008, 0.22222220936507917]]"
"[0.22222221422222224, 0.22222225022222214, 0.22222221422222224, 0.08547011347008523, 0.22222221422222224]","[0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.11111110711111112, 0.22222221422222224]","[0.23076922410256415, 0.23076922410256412, 0.23076922410256415, 0.07692308192307688, 0.15384615301282056]","[0.23076924576923066, 0.23076922410256412, 0.23076922410256415, 0.15384615301282056, 0.23076922410256415]","[0.22222221555555585, 0.22222224555555442, 0.22222221555555585, 0.0854701121367516, 0.22222221555555585]","[[0.22222221555555585, 0.22222224555555442, 0.22222221555555585, 0.11111110777777793, 0.22222221555555585], [0.23076922410256417, 0.23076922410256417, 0.23076922410256417, 0.0854701121367516, 0.22222221555555585]]",793,"[0.23076922410256417, 0.23076922410256417, 0.23076922410256417, 0.07692308192307687, 0.15384616384615374]","[0.2307692457692306, 0.23076922410256417, 0.23076922410256417, 0.15384616384615374, 0.23076922410256417]","[0.22222221555555585, 0.22222224555555442, 0.22222221555555585, 0.22222221555555585, 0.22222221555555585]","[0.22222221422222224, 0.22222225022222214, 0.22222221422222224, 0.2222222052222223, 0.2222222052222223]","[0.23076922410256417, 0.23076922410256417, 0.23076922410256417, 0.11111110777777793, 0.22222221555555585]","[0.2222222052222223, 0.2222222052222223, 0.11111112511111107, 0.11111110711111112, 0.2222222052222223]","[0.22222221555555585, 0.22222221555555585, 0.11111112277777721, 0.11111110777777793, 0.22222221555555585]","[[0.22222221422222224, 0.22222225022222214, 0.22222221422222224, 0.11111110711111112, 0.22222221422222224], [0.23076922410256415, 0.23076922410256415, 0.23076922410256415, 0.08547011347008523, 0.22222221422222224]]"
"[0.22222221422222224, 0.22222225022222217, 0.19191922891919058, 0.12121212521212096, 0.22222221422222224]","[0.22222221422222224, 0.24242421742424403, 0.19191922891919058, 0.14141409241414285, 0.22222221422222224]","[0.22222221422222224, 0.22222221422222224, 0.11111112511111108, 0.11111110711111112, 0.22222221422222224]","[0.22222221422222224, 0.22222225022222217, 0.22222221422222224, 0.22222221422222224, 0.22222221422222224]","[0.22222221888888902, 0.22222224888888803, 0.1919192360858561, 0.12121210871212197, 0.22222221888888902]","[[0.22222221888888902, 0.24242421742424397, 0.1919192360858561, 0.12121210871212197, 0.22222221888888902], [0.22222221888888902, 0.22222224888888803, 0.21212120462121198, 0.12121210871212197, 0.22222221888888902]]",794,"[0.22222221888888902, 0.22222221888888902, 0.11111112444444401, 0.11111110944444451, 0.22222221888888902]","[0.22222221888888902, 0.22222224888888803, 0.22222221888888902, 0.22222221888888902, 0.22222221888888902]","[0.24242421742424394, 0.24242427242424056, 0.21212122462121138, 0.21212122462121138, 0.24242421742424397]","[0.24242425042424193, 0.24242425042424193, 0.21212121912121168, 0.21212121912121168, 0.24242421742424403]","[0.22222221888888902, 0.24242421742424397, 0.21212120462121198, 0.12121210871212197, 0.22222221888888902]","[0.21212121912121168, 0.24242421742424403, 0.06060606260606048, 0.12121212521212096, 0.21212121912121168]","[0.21212122462121138, 0.24242421742424397, 0.06060606810606014, 0.12121210871212197, 0.21212122462121138]","[[0.22222221422222224, 0.24242421742424403, 0.19191922891919058, 0.12121212521212096, 0.22222221422222224], [0.22222221422222224, 0.22222225022222217, 0.19191922891919058, 0.14141409241414285, 0.22222221422222224]]"
"[0.23076922410256384, 0.19230774897435926, 0.2307692107692308, 0.07692311692307768, 0.2307692107692308]","[0.23076922410256384, 0.23076922410256384, 0.23076922410256384, 0.1153846053846154, 0.2307692107692308]","[0.23076922410256384, 0.23076922410256384, 0.23076922410256384, 0.07692308192307713, 0.15384615301282045]","[0.23076922410256384, 0.2307692457692314, 0.23076922410256384, 0.15384615301282045, 0.23076922410256384]","[0.2307692241025642, 0.19230772671104412, 0.23076921967455666, 0.0769231080177506, 0.23076921967455666]","[[0.2307692241025642, 0.19230772671104412, 0.23076921967455666, 0.11538460983727833, 0.23076921967455666], [0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.0769231080177506, 0.23076921967455666]]",795,"[0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.07692308192307684, 0.15384616384615368]","[0.2307692241025642, 0.23076924576923052, 0.2307692241025642, 0.15384616384615368, 0.2307692241025642]","[0.2307692677514779, 0.23076921967455666, 0.23076921967455666, 0.23076921967455666, 0.23076921967455666]","[0.23076922410256384, 0.23076926576923099, 0.2307692107692308, 0.2307692107692308, 0.2307692107692308]","[0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.11538460983727833, 0.23076921967455666]","[0.2307692107692308, 0.11538461205128192, 0.07692308858974366, 0.1153846053846154, 0.2307692107692308]","[0.23076921967455666, 0.11538463387573895, 0.07692307322485221, 0.11538460983727833, 0.23076921967455666]","[[0.23076922410256384, 0.19230774897435926, 0.2307692107692308, 0.1153846053846154, 0.2307692107692308], [0.23076922410256384, 0.23076922410256384, 0.23076922410256384, 0.07692311692307768, 0.2307692107692308]]"
"[0.20000001499999842, 0.2352941062184872, 0.16470587878151438, 0.1647059087815112, 0.19999999999999996]","[0.2352941062184872, 0.2352941062184872, 0.16470587878151438, 0.2, 0.19999999999999996]","[0.2352941062184872, 0.2352941062184872, 0.1176470773949583, 0.0588235265546218, 0.17647055537815068]","[0.2352941062184872, 0.2352941547899166, 0.2352941062184872, 0.17647055537815068, 0.2352941062184872]","[0.20000001500000053, 0.23529411764705882, 0.16470586735294074, 0.15882357841176287, 0.2]","[[0.20000001500000053, 0.23529411764705882, 0.16470586735294074, 0.2, 0.2], [0.23529411764705882, 0.23529411764705882, 0.16470586735294074, 0.15882357841176287, 0.2058823189411788]]",796,"[0.23529411764705882, 0.23529411764705882, 0.11764705882352941, 0.058823529411764705, 0.2058823189411788]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.2058823189411788, 0.23529411764705882]","[0.20000001500000053, 0.2666666566666663, 0.2, 0.2, 0.2]","[0.20000001499999842, 0.2666666566666678, 0.2, 0.19999999999999996, 0.19999999999999996]","[0.23529411764705882, 0.23529411764705882, 0.16470586735294074, 0.2, 0.2058823189411788]","[0.19999999999999996, 0.19999999999999996, 0.1333333283333339, 0.19999999999999996, 0.19999999999999996]","[0.2, 0.2, 0.13333332833333314, 0.2, 0.2]","[[0.20000001499999842, 0.2352941062184872, 0.16470587878151438, 0.2, 0.19999999999999996], [0.2352941062184872, 0.2352941062184872, 0.16470587878151438, 0.1647059087815112, 0.19999999999999996]]"
"[0.222222237222223, 0.2222222179365077, 0.2222222179365077, 0.11111111253968303, 0.2222222143650785]","[0.222222237222223, 0.2222222179365077, 0.2222222179365077, 0.11111111253968303, 0.2222222143650785]","[0.18518518804232822, 0.2222222179365077, 0.2222222179365077, 0.11111110896825385, 0.18518518804232822]","[0.222222237222223, 0.2222222179365077, 0.2222222179365077, 0.18518518804232822, 0.2222222179365077]","[0.22222222222222224, 0.22222223022222182, 0.22222222222222224, 0.11111111111111112, 0.2222222142222226]","[[0.22222222222222224, 0.22222223022222182, 0.22222222222222224, 0.11111111111111112, 0.2222222142222226], [0.22222222222222224, 0.2222222222222222, 0.22222222222222224, 0.11111111111111112, 0.2222222222222222]]",797,"[0.18518517700336726, 0.2222222222222222, 0.22222222222222224, 0.11111111111111112, 0.18518517700336726]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.18518517700336726, 0.2222222222222222]","[0.22222222222222224, 0.22222222222222224, 0.2777777777777778, 0.1388888888888889, 0.2222222142222226]","[0.222222237222223, 0.2222222179365077, 0.2777777724206346, 0.1388888862103173, 0.2222222143650785]","[0.22222222222222224, 0.22222223022222182, 0.22222222222222224, 0.11111111111111112, 0.2222222142222226]","[0.2222222143650785, 0.2222222143650785, 0.2222222179365077, 0.1111111186111115, 0.1388888862103173]","[0.2222222142222226, 0.2222222142222226, 0.22222222222222224, 0.11111111111111112, 0.1388888888888889]","[[0.222222237222223, 0.2222222179365077, 0.2222222179365077, 0.11111111253968303, 0.2222222143650785], [0.222222237222223, 0.2222222179365077, 0.2222222179365077, 0.11111111253968303, 0.2222222143650785]]"
"[0.22222223222222345, 0.22222223222222343, 0.22222223222222345, 0.11111111611111174, 0.22222218722221793]","[0.22222223222222345, 0.22222223222222343, 0.22222223222222345, 0.11111111611111174, 0.22222218722221793]","[0.22222223222222345, 0.22222223222222343, 0.11111111611111171, 0.11111111611111173, 0.22222218722221793]","[0.22222223222222345, 0.22222223222222343, 0.22222223222222345, 0.22222218722221793, 0.22222223222222345]","[0.22222221722222218, 0.22222221672222256, 0.22222221722222224, 0.11111110861111112, 0.2222222402222217]","[[0.22222221722222218, 0.22222221672222256, 0.22222221722222224, 0.11111110861111112, 0.2222222402222217], [0.22222221722222224, 0.22222221672222256, 0.22222221722222224, 0.11111110861111112, 0.2222222402222217]]",798,"[0.22222221722222224, 0.22222221722222224, 0.11111111986111101, 0.11111110861111112, 0.22222220597222248]","[0.22222221722222224, 0.22222223972222202, 0.22222221722222224, 0.22222220597222248, 0.22222221722222224]","[0.22222221722222218, 0.22222221722222224, 0.27777778277777776, 0.13888889138888888, 0.22222221672222256]","[0.22222223222222348, 0.22222223222222348, 0.2777777677777765, 0.13888888388888826, 0.22222220722222075]","[0.22222221722222218, 0.22222221672222256, 0.22222221722222224, 0.11111110861111112, 0.2222222402222217]","[0.22222220722222075, 0.22222220722222075, 0.22222223222222345, 0.11111111611111174, 0.13888888388888826]","[0.22222221672222256, 0.22222221672222256, 0.22222221722222224, 0.11111110861111112, 0.13888889138888888]","[[0.22222223222222348, 0.22222223222222343, 0.22222223222222345, 0.11111111611111174, 0.22222218722221793], [0.22222223222222345, 0.22222223222222343, 0.22222223222222345, 0.11111111611111174, 0.22222218722221793]]"
"[0.22222226888888688, 0.22222220888888944, 0.22222220888888947, 0.08496736978524483, 0.2222222088888895]","[0.23529410621848812, 0.23529410621848812, 0.22222220888888947, 0.11111110444444475, 0.2222222088888895]","[0.2222222088888895, 0.11111113444444344, 0.11111110444444472, 0.11111110444444475, 0.2222222088888895]","[0.22222226888888688, 0.22222220888888944, 0.2222222088888895, 0.2222222088888895, 0.2222222088888895]","[0.23529411764705882, 0.23529411764705882, 0.1764706201102919, 0.11764704819853, 0.2352940963970603]","[[0.23529411764705882, 0.23529411764705882, 0.1764706201102919, 0.11764704819853, 0.2352940963970603], [0.23529411764705882, 0.23529411764705882, 0.1764706201102919, 0.11764704819853015, 0.2352940963970603]]",799,"[0.2352940963970603, 0.11764705882352941, 0.11764705882352941, 0.11764704819853015, 0.2352940963970603]","[0.23529411764705882, 0.23529411764705882, 0.2352940963970603, 0.2352940963970603, 0.2352940963970603]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.20588231894118048, 0.23529411764705882]","[0.23529410621848812, 0.23529415478991367, 0.23529410621848812, 0.17647055537815326, 0.23529410621848812]","[0.23529411764705882, 0.23529411764705882, 0.1764706201102919, 0.11764704819853, 0.2352940963970603]","[0.23529410621848812, 0.23529410621848812, 0.11764707739495683, 0.05882352655462203, 0.17647055537815326]","[0.23529411764705882, 0.23529411764705882, 0.11764705882352941, 0.058823529411764705, 0.20588231894118048]","[[0.23529410621848812, 0.23529410621848812, 0.22222220888888947, 0.08496736978524483, 0.2222222088888895], [0.22222226888888688, 0.22222220888888944, 0.22222220888888947, 0.11111110444444475, 0.2222222088888895]]"
"[0.2222222179365077, 0.222222237222223, 0.1904761754761899, 0.11111118539682846, 0.1904761754761899]","[0.2222222179365077, 0.28571424571428405, 0.2222222179365077, 0.1428571514285718, 0.1904761754761899]","[0.18518518804232822, 0.2222222179365077, 0.2222222179365077, 0.11111110896825385, 0.18518518804232822]","[0.2222222179365077, 0.222222237222223, 0.2222222179365077, 0.18518518804232822, 0.2222222179365077]","[0.22222221793650798, 0.222222237222222, 0.1666667116666617, 0.11111110896825405, 0.1666667116666617]","[[0.22222221793650798, 0.3333332433333433, 0.1666667116666617, 0.11111111539682517, 0.1666667116666617], [0.22222221793650798, 0.222222237222222, 0.22222221793650798, 0.11111110896825405, 0.22222221793650798]]",800,"[0.185185188042328, 0.22222221793650798, 0.22222221793650798, 0.11111110896825399, 0.185185188042328]","[0.22222221793650798, 0.222222237222222, 0.22222221793650798, 0.185185188042328, 0.22222221793650798]","[0.3333332433333433, 0.3333332433333433, 0.1666667116666617, 0.16666662166667165, 0.1666667116666617]","[0.28571424571428405, 0.2857143157142869, 0.1904761754761899, 0.14285715785714345, 0.1904761754761899]","[0.22222221793650798, 0.3333332433333433, 0.22222221793650798, 0.11111110896825405, 0.22222221793650798]","[0.1904761754761899, 0.28571424571428405, 0.09523810523809563, 0.0634920584920633, 0.14285715785714345]","[0.1666667116666617, 0.3333332433333433, 0.11111108111111444, 0.0555555705555539, 0.16666662166667165]","[[0.2222222179365077, 0.28571424571428405, 0.1904761754761899, 0.11111118539682846, 0.1904761754761899], [0.2222222179365077, 0.222222237222223, 0.2222222179365077, 0.1428571514285718, 0.1904761754761899]]"
"[0.22222224222222248, 0.20000001000000003, 0.20000001000000003, 0.13333332333333328, 0.20000001000000003]","[0.26666664666666673, 0.22222221222222213, 0.20000001000000003, 0.13333332333333328, 0.22222221222222213]","[0.22222224222222248, 0.22222221222222213, 0.11111112111111124, 0.08333331833333316, 0.22222221222222213]","[0.22222224222222248, 0.22222224222222248, 0.24999995499999947, 0.22222221222222213, 0.22222224222222248]","[0.22222224222222195, 0.2000000200000003, 0.2000000200000003, 0.13333331333333298, 0.2000000200000003]","[[0.24999994999999936, 0.2000000200000003, 0.2000000200000003, 0.1499999899999998, 0.2000000200000003], [0.22222224222222195, 0.22222221222222238, 0.2000000200000003, 0.13333331333333298, 0.22222221222222238]]",801,"[0.22222224222222195, 0.22222221222222238, 0.11111112111111097, 0.08333331833333354, 0.22222221222222238]","[0.22222224222222195, 0.22222224222222195, 0.24999995500000063, 0.22222221222222238, 0.22222224222222195]","[0.2999999799999996, 0.2000000200000003, 0.2000000200000003, 0.2000000200000003, 0.2000000200000003]","[0.26666664666666656, 0.20000001000000003, 0.20000001000000003, 0.20000001000000003, 0.20000001000000003]","[0.24999994999999936, 0.22222221222222238, 0.2000000200000003, 0.1499999899999998, 0.22222221222222238]","[0.20000001000000003, 0.20000001000000003, 0.20000001000000003, 0.13333332333333328, 0.13333332333333328]","[0.2000000200000003, 0.2000000200000003, 0.2000000200000003, 0.1499999899999998, 0.1499999899999998]","[[0.26666664666666673, 0.20000001000000003, 0.20000001000000003, 0.13333332333333328, 0.20000001000000003], [0.22222224222222248, 0.22222221222222213, 0.20000001000000003, 0.13333332333333328, 0.22222221222222213]]"
"[0.2727272427272727, 0.20000003999999882, 0.10303035303030278, 0.15151517151515154, 0.1999999900000003]","[0.29999996000000123, 0.2727272427272727, 0.10303035303030278, 0.19696965696969698, 0.1999999900000003]","[0.1999999900000003, 0.14999998000000062, 0.10000001999999941, 0.14999998000000062, 0.1999999900000003]","[0.29999996000000123, 0.20000003999999882, 0.1999999900000003, 0.1999999900000003, 0.1999999900000003]","[0.27272724272727356, 0.20000004000000027, 0.1030304080303005, 0.1515151165151524, 0.19999998999999993]","[[0.27272724272727356, 0.27272724272727356, 0.1030304080303005, 0.1515151165151524, 0.19999998999999993], [0.3219695644696994, 0.20000004000000027, 0.1030304080303005, 0.17499999749999995, 0.19999998999999993]]",802,"[0.19999998999999993, 0.17499999749999995, 0.10000002000000013, 0.17499999749999995, 0.19999998999999993]","[0.3499999949999999, 0.20000004000000027, 0.19999998999999993, 0.19999998999999993, 0.19999998999999993]","[0.27272724272727356, 0.27272740772726917, 0.1515151165151524, 0.1515151165151524, 0.27272724272727356]","[0.2727272427272727, 0.2727272427272727, 0.15151517151515154, 0.15151517151515154, 0.2727272427272727]","[0.3219695644696994, 0.27272724272727356, 0.1030304080303005, 0.17499999749999995, 0.19999998999999993]","[0.2727272427272727, 0.2727272427272727, 0.0909090809090909, 0.0909090809090909, 0.15151517151515154]","[0.27272724272727356, 0.27272724272727356, 0.09090913590908972, 0.09090913590908972, 0.1515151165151524]","[[0.2727272427272727, 0.2727272427272727, 0.10303035303030278, 0.15151517151515154, 0.1999999900000003], [0.29999996000000123, 0.20000003999999882, 0.10303035303030278, 0.19696965696969698, 0.1999999900000003]]"
"[0.222222212222222, 0.222222212222222, 0.20915037679738252, 0.11111115111111214, 0.21568629450980228]","[0.222222212222222, 0.2352940776470621, 0.222222212222222, 0.11764703882353104, 0.222222212222222]","[0.21568629450980228, 0.2352940776470621, 0.07843138754901839, 0.11764703882353104, 0.21568629450980228]","[0.2352940776470621, 0.2352941626470552, 0.21568629450980228, 0.21568629450980228, 0.2352940776470621]","[0.2222222122222221, 0.2156863245098038, 0.20261445908496667, 0.11764703882352971, 0.2222222122222221]","[[0.2222222122222221, 0.2156863245098038, 0.2222222122222221, 0.11764703882352971, 0.2222222122222221], [0.2222222122222221, 0.23529407764705942, 0.20261445908496667, 0.11764703882352971, 0.2222222122222221]]",803,"[0.21568629450980362, 0.23529407764705942, 0.07843138754901939, 0.11764703882352971, 0.21568629450980362]","[0.23529407764705942, 0.23529416264705816, 0.21568629450980362, 0.21568629450980362, 0.23529407764705942]","[0.22222230222222317, 0.2222222122222221, 0.24999995499999947, 0.2222222122222221, 0.2222222122222221]","[0.222222212222222, 0.222222212222222, 0.25000002250000053, 0.222222212222222, 0.222222212222222]","[0.2222222122222221, 0.23529407764705942, 0.2222222122222221, 0.11764703882352971, 0.2222222122222221]","[0.222222212222222, 0.111111106111111, 0.222222212222222, 0.0833333408333335, 0.222222212222222]","[0.2222222122222221, 0.11111115111111158, 0.2222222122222221, 0.08333331833333316, 0.2222222122222221]","[[0.222222212222222, 0.222222212222222, 0.222222212222222, 0.11111115111111214, 0.222222212222222], [0.222222212222222, 0.2352940776470621, 0.20915037679738252, 0.11764703882353104, 0.21568629450980228]]"
"[0.22222221422222127, 0.22222225022222564, 0.12500000103448275, 0.15277779715708917, 0.22222221422222127]","[0.2499999937931034, 0.2499999937931034, 0.12500000103448275, 0.20833332029884916, 0.22222221422222127]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221911]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221911, 0.22222221422222127]","[0.22222222472222225, 0.22222224722222278, 0.15789477684210035, 0.09356732896197828, 0.22222222472222225]","[[0.26315783473684945, 0.26315783473684945, 0.15789477684210035, 0.09356732896197828, 0.22222222472222225], [0.22222222472222225, 0.22222224722222278, 0.22222219097222157, 0.11111111236111113, 0.22222222472222225]]",804,"[0.22222222472222225, 0.22222222472222225, 0.11111112361111139, 0.11111111236111113, 0.222222213472222]","[0.22222222472222225, 0.22222224722222278, 0.22222222472222225, 0.222222213472222, 0.22222222472222225]","[0.26315783473684945, 0.26315783473684945, 0.15789477684210035, 0.15789477684210035, 0.26315783473684945]","[0.2500000020689655, 0.25000000206896555, 0.16666666804597705, 0.16666666390804596, 0.2499999937931034]","[0.26315783473684945, 0.26315783473684945, 0.22222219097222157, 0.11111111236111113, 0.22222222472222225]","[0.2499999937931034, 0.2499999937931034, 0.12500000103448275, 0.08333333402298852, 0.16666666390804596]","[0.26315783473684945, 0.26315783473684945, 0.13157891736842472, 0.07894738842105017, 0.15789477684210035]","[[0.2499999937931034, 0.2499999937931034, 0.12500000103448275, 0.15277779715708917, 0.22222221422222127], [0.22222221422222127, 0.22222225022222564, 0.12500000103448275, 0.20833332029884916, 0.22222221422222127]]"
"[0.22222221936507935, 0.20000005333333104, 0.1999999866666673, 0.13333336809523755, 0.19999998666666718]","[0.26666660523809693, 0.2222222129365079, 0.1999999866666673, 0.13333336809523755, 0.2222222129365079]","[0.22222221936507935, 0.2222222129365079, 0.11111111611111113, 0.11111110968253968, 0.2222222129365079]","[0.22222221936507935, 0.22222223222222226, 0.22222221936507935, 0.2222222129365079, 0.22222221936507935]","[0.2222222122222224, 0.2222222422222218, 0.18750013000002466, 0.1458332033333087, 0.18750013000002466]","[[0.2569442944444203, 0.2222222422222218, 0.18750013000002466, 0.1458332033333087, 0.18750013000002466], [0.2222222122222224, 0.2222222422222218, 0.18750013000002466, 0.1458332033333087, 0.2222222122222224]]",805,"[0.2222222122222224, 0.2222222122222224, 0.11111112111111092, 0.1111111061111112, 0.2222222122222224]","[0.2222222122222224, 0.22222224222222184, 0.2222222122222224, 0.2222222122222224, 0.2222222122222224]","[0.37499993999998865, 0.24999995999999244, 0.18750013000002466, 0.18750013000002466, 0.18750013000002466]","[0.2999999800000009, 0.20000005333333104, 0.1999999866666673, 0.1999999866666673, 0.19999998666666718]","[0.2569442944444203, 0.2222222422222218, 0.18750013000002466, 0.1458332033333087, 0.2222222122222224]","[0.19999998666666718, 0.14999999000000044, 0.10000002666666552, 0.09999999333333363, 0.19999998666666718]","[0.18750013000002466, 0.18749996999999433, 0.12499997999999622, 0.12499997999999622, 0.18750013000002466]","[[0.26666660523809693, 0.20000005333333104, 0.1999999866666673, 0.13333336809523755, 0.19999998666666718], [0.22222221936507935, 0.2222222129365079, 0.1999999866666673, 0.13333336809523755, 0.2222222129365079]]"
"[0.23529413264705853, 0.23529411764705882, 0.23529411764705882, 0.0494118063725503, 0.23529410264705905]","[0.23999998666666586, 0.23999998666666586, 0.23529411764705882, 0.058823529411764705, 0.23529410264705905]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705, 0.09803921068627457]","[0.23529413264705853, 0.23529411764705882, 0.23529411764705882, 0.19607842137254913, 0.23529411764705882]","[0.23529413264705917, 0.23529411764705882, 0.23529411764705882, 0.049411806372547384, 0.23529410264705847]","[[0.23999998666666766, 0.23999998666666766, 0.23529411764705882, 0.049411806372547384, 0.23529410264705847], [0.23529413264705917, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705, 0.23529410264705847]]",806,"[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705, 0.0980392106862744]","[0.23529413264705917, 0.23529411764705882, 0.23529411764705882, 0.1960784213725488, 0.23529411764705882]","[0.24000004222221905, 0.23999998666666766, 0.23999998666666766, 0.20000000277777763, 0.23999998666666766]","[0.24000004222222476, 0.23999998666666586, 0.23999998666666586, 0.15999996333333108, 0.23999998666666586]","[0.23999998666666766, 0.23999998666666766, 0.23529411764705882, 0.058823529411764705, 0.23529410264705847]","[0.23999998666666586, 0.23999998666666586, 0.12000002111111238, 0.03999999777777764, 0.15999996333333108]","[0.23999998666666766, 0.23999998666666766, 0.12000002111110952, 0.03999999777777794, 0.20000000277777763]","[[0.23999998666666586, 0.23999998666666586, 0.23529411764705882, 0.0494118063725503, 0.23529410264705905], [0.23529413264705853, 0.23529411764705882, 0.23529411764705882, 0.058823529411764705, 0.23529410264705905]]"
"[0.222222237222223, 0.22222221682748494, 0.16666667719298212, 0.14814814034113044, 0.18518518878167667]","[0.2499999968421054, 0.2499999968421054, 0.22222221682748494, 0.14814814034113044, 0.18518518878167667]","[0.2499999968421054, 0.2499999968421054, 0.1249999984210527, 0.08333333228070179, 0.16666666456140355]","[0.2499999968421054, 0.2499999968421054, 0.16666667719298212, 0.16666666456140355, 0.2499999968421054]","[0.2222222276767676, 0.2222222276767676, 0.1578947768421002, 0.0935673505528869, 0.22222220313131336]","[[0.2222222276767676, 0.2222222276767676, 0.2222222276767676, 0.1111111138383838, 0.22222220313131336], [0.26315783473684967, 0.26315783473684967, 0.1578947768421002, 0.0935673505528869, 0.22222220313131336]]",807,"[0.26315783473684967, 0.26315783473684967, 0.13157891736842484, 0.0789473884210501, 0.1578947768421002]","[0.26315783473684967, 0.26315783473684967, 0.1578947768421002, 0.1578947768421002, 0.26315783473684967]","[0.2222222276767676, 0.2222222276767676, 0.2222222276767676, 0.18518518154882158, 0.2222222276767676]","[0.222222237222223, 0.22222221682748494, 0.22222221941520467, 0.18518518878167667, 0.22222221682748494]","[0.26315783473684967, 0.26315783473684967, 0.2222222276767676, 0.1111111138383838, 0.22222220313131336]","[0.18518518878167667, 0.22222221682748494, 0.22222221682748494, 0.11111110970760234, 0.18518518878167667]","[0.18518518154882158, 0.2222222276767676, 0.2222222276767676, 0.1111111138383838, 0.18518518154882158]","[[0.222222237222223, 0.22222221682748494, 0.22222221682748494, 0.14814814034113044, 0.18518518878167667], [0.2499999968421054, 0.2499999968421054, 0.16666667719298212, 0.14814814034113044, 0.18518518878167667]]"
