解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᵁ_1,Trial,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᴸ_1
"[0.2222222205050506, 0.2222222205050506, 0.2500000038636363, 0.222222228232323, 0.2222222205050506]","[0.22222222404040412, 0.22222221858585936, 0.24999999999999972, 0.2222222240404035, 0.2222222240404038]","[0.2222222205050506, 0.2222222205050506, 0.22222222952020174, 0.2222222205050506, 0.2222222205050506]","[0.22222222404040354, 0.22222221858585936, 0.11111111202020191, 0.0833333333333332, 0.11111111202020148]","[0.2222222240404039, 0.22222221858585942, 0.2499999999999997, 0.22222222404040345, 0.22222222404040384]","[0.2222222205050506, 0.2222222205050506, 0.2500000038636363, 0.2222222205050506, 0.2222222205050506]","[0.22222222404040387, 0.22222222404040365, 0.22222222404040395, 0.22222222404040404, 0.22222222404040382]",635,"[0.2222222205050506, 0.2222222205050506, 0.1111111102525253, 0.08333333462121209, 0.11111111476010087]","[0.2222222205050506, 0.2222222205050506, 0.1111111102525253, 0.22222221470959636, 0.11111111476010087]","[0.22222222404040295, 0.22222221858585942, 0.1111111092929292, 0.08333333333333301, 0.22222221222222213]","[0.2222222205050506, 0.2222222205050506, 0.1111111102525253, 0.08333333462121209, 0.2222222205050506]","[0.22222222404040354, 0.22222222404040365, 0.11111111202020191, 0.22222221585858665, 0.11111111202020148]"
"[0.20000001428571418, 0.31999996571428596, 0.19999999642857147, 0.20000001428571418, 0.20000001428571418]","[0.22222221222222197, 0.3199999657142851, 0.22222222222222232, 0.22222221222222197, 0.22222221222222197]","[0.22222221472222234, 0.22222223722222204, 0.22222222222222224, 0.22222221472222234, 0.22222221472222234]","[0.1999999964285713, 0.2000000142857145, 0.07999999142857127, 0.11111111111111116, 0.19999999642857133]","[0.2000000142857145, 0.3199999657142851, 0.19999999642857133, 0.2000000142857145, 0.2000000142857145]","[0.22222221472222234, 0.31999996571428596, 0.22222222222222224, 0.22222221472222234, 0.22222221472222234]","[0.22222221222222197, 0.22222224222222267, 0.22222222222222232, 0.22222221222222197, 0.22222221222222197]",636,"[0.19999999642857147, 0.20000001428571418, 0.07999999142857149, 0.11111111111111112, 0.19999999642857147]","[0.22222221472222234, 0.22222221472222234, 0.11111111861111102, 0.11111111111111112, 0.22222221472222234]","[0.19999999642857133, 0.2000000142857145, 0.07999999142857127, 0.19999999642857152, 0.19999999642857133]","[0.19999999642857147, 0.20000001428571418, 0.07999999142857149, 0.19999999642857147, 0.19999999642857147]","[0.22222221222222197, 0.22222221222222197, 0.11111112111111121, 0.11111111111111116, 0.22222221222222197]"
"[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.2058823208411775, 0.23529411764705882]","[0.23529412564705782, 0.23529409164706155, 0.26666665666666756, 0.20000000000000007, 0.2352941256470579]","[0.20000000629411774, 0.20000000629411774, 0.2666666540784312, 0.20000000629411774, 0.19999999842647057]","[0.20000000000000007, 0.11764706282352891, 0.20000000000000007, 0.058823531411764544, 0.13333332833333372]","[0.23529412564705782, 0.23529409164706155, 0.23529412564705818, 0.1764705602352974, 0.2352941256470579]","[0.23529411764705882, 0.23529411764705882, 0.2666666540784312, 0.2058823208411775, 0.23529411764705882]","[0.20000000000000007, 0.20000001499999898, 0.26666665666666745, 0.20000000000000007, 0.20000000000000004]",637,"[0.19999999842647057, 0.11764705882352941, 0.20000000629411774, 0.058823529411764705, 0.1333333270392156]","[0.19999999842647057, 0.19999999842647057, 0.20000000629411774, 0.19999999842647057, 0.1333333270392156]","[0.23529412564705782, 0.11764706282352891, 0.23529409164706155, 0.058823531411764544, 0.1764705602352974]","[0.23529411764705882, 0.11764705882352941, 0.23529411764705882, 0.058823529411764705, 0.2058823208411775]","[0.20000000000000007, 0.20000000000000004, 0.20000000000000007, 0.20000000000000004, 0.13333332833333372]"
"[0.2222222319595958, 0.2222222319595958, 0.2222222319595958, 0.22222218814141478, 0.2222222319595958]","[0.22222225022222233, 0.2999999639999992, 0.22222221422222221, 0.222222196222222, 0.22222221422222221]","[0.20000005355555583, 0.3272726688484847, 0.20000005355555583, 0.20000005355555583, 0.20000005355555583]","[0.20000001600000034, 0.11111112511111117, 0.09999998799999972, 0.11111110711111108, 0.20000001600000036]","[0.22222225022222233, 0.22222221422222216, 0.22222221422222221, 0.222222196222222, 0.22222221422222221]","[0.2222222319595958, 0.3272726688484847, 0.2222222319595958, 0.22222218814141478, 0.2222222319595958]","[0.20000001600000036, 0.2999999639999992, 0.20000001600000034, 0.20000001600000036, 0.20000001600000036]",638,"[0.20000005355555583, 0.1111111159797979, 0.10909088961616158, 0.1111111159797979, 0.20000005355555583]","[0.20000005355555583, 0.20000005355555583, 0.10909088961616158, 0.16363633442424236, 0.20000005355555583]","[0.22222221422222221, 0.11111112511111117, 0.22222221422222213, 0.11111110711111108, 0.222222196222222]","[0.2222222319595958, 0.1111111159797979, 0.2222222319595958, 0.1111111159797979, 0.22222218814141478]","[0.20000001600000034, 0.20000001600000036, 0.09999998799999972, 0.1499999819999996, 0.20000001600000036]"
"[0.2631578334311783, 0.2631578334311783, 0.15789477771254773, 0.15789477771254773, 0.2631578334311783]","[0.2499999799999999, 0.2499999800000001, 0.23076920219780153, 0.19230766230769158, 0.24999998000000012]","[0.23076924828513493, 0.23076924828513493, 0.23076924828513493, 0.21153843964358127, 0.23076924828513493]","[0.23076923934065963, 0.23076920219780153, 0.11538461967032972, 0.07692307978021988, 0.16666670666666664]","[0.2499999799999999, 0.2499999800000001, 0.16666670666666658, 0.16666670666666664, 0.24999998000000012]","[0.2631578334311783, 0.2631578334311783, 0.23076924828513493, 0.21153843964358127, 0.2631578334311783]","[0.23076923934065943, 0.23076923934065963, 0.23076920219780153, 0.19230766230769158, 0.23076923934065963]",639,"[0.23076924828513493, 0.23076924828513493, 0.11538462414256746, 0.07692308276171164, 0.15789477771254773]","[0.23076924828513493, 0.23076924828513493, 0.11538462414256746, 0.07692308276171164, 0.21153843964358127]","[0.2499999799999999, 0.2499999799999999, 0.12499999, 0.08333335333333329, 0.16666670666666664]","[0.2631578334311783, 0.2631578334311783, 0.13157891671558916, 0.07894738885627386, 0.15789477771254773]","[0.23076923934065943, 0.23076920219780153, 0.11538461967032972, 0.07692307978021988, 0.19230766230769158]"
"[0.222222222222222, 0.222222222222222, 0.22222222222222313, 0.1851851900925928, 0.222222222222222]","[0.22222221022222297, 0.22222222102222228, 0.22222222102222228, 0.18518518958518554, 0.22222223722222129]","[0.222222222222222, 0.222222222222222, 0.2222222222222228, 0.1851851900925928, 0.222222222222222]","[0.1851851895851855, 0.22222222102222228, 0.18518518418518504, 0.11111111051111114, 0.1851851895851855]","[0.22222221022222297, 0.22222221022222297, 0.22222223722222134, 0.18518518418518504, 0.22222223722222134]","[0.222222222222222, 0.222222222222222, 0.2222222222222228, 0.1851851900925928, 0.222222222222222]","[0.22222221022222297, 0.22222222102222228, 0.22222222102222228, 0.1851851895851855, 0.22222223722222129]",640,"[0.1851851900925928, 0.222222222222222, 0.1851851900925928, 0.111111111111111, 0.1851851900925928]","[0.1851851900925928, 0.222222222222222, 0.22222220749999952, 0.1111111111111114, 0.1851851900925928]","[0.22222221022222297, 0.22222221022222297, 0.18518518418518504, 0.11111110511111148, 0.18518518418518504]","[0.22222220749999952, 0.222222222222222, 0.1851851900925928, 0.111111111111111, 0.1851851900925928]","[0.1851851895851855, 0.22222222102222228, 0.2222221940222221, 0.11111111051111114, 0.1851851895851855]"
"[0.22222222421111104, 0.22222222421111104, 0.22222222421111104, 0.22222222421111104, 0.22222222421111104]","[0.2631578822368412, 0.2631578822368423, 0.2222222142222215, 0.22222221422222127, 0.2631578822368412]","[0.24999999171296305, 0.25000000828703695, 0.20000000662962952, 0.20000000662962952, 0.24999999171296305]","[0.22222221422222127, 0.2222222142222213, 0.052631576447368454, 0.07894738842105355, 0.15789477684210712]","[0.22222221422222127, 0.22222225022222347, 0.2222222142222215, 0.22222221422222127, 0.22222221422222127]","[0.24999999171296305, 0.25000000828703695, 0.22222222421111104, 0.22222222421111104, 0.24999999171296305]","[0.2631578822368412, 0.2631578822368423, 0.1578947768421071, 0.1578947768421069, 0.2631578822368412]",641,"[0.22222222421111104, 0.22222222421111104, 0.05000000165740739, 0.10000000331481476, 0.20000000662962952]","[0.24999999171296305, 0.24999999171296305, 0.05000000165740739, 0.10000000331481476, 0.20000000662962952]","[0.22222221422222127, 0.22222221422222127, 0.11111112511110983, 0.11111110711111272, 0.22222221422222127]","[0.22222222421111104, 0.22222222421111104, 0.11111111210555552, 0.11111111210555552, 0.2222222152611113]","[0.2631578822368412, 0.26315788223684144, 0.052631576447368454, 0.07894738842105355, 0.15789477684210712]"
"[0.30769230769230765, 0.30769230769230765, 0.15384615384615383, 0.17948719594551288, 0.17948719594551288]","[0.3076922676923066, 0.3076922676923068, 0.22222221422222105, 0.22222219622221884, 0.22222221422222116]","[0.22222223235042754, 0.22222223235042754, 0.22222223235042754, 0.2222221867735036, 0.22222223235042754]","[0.17948719948718006, 0.22222221422222116, 0.11111112511111304, 0.07692306692307646, 0.1538461338461534]","[0.3076922676923066, 0.3076922676923068, 0.15384613384615298, 0.17948719948718006, 0.17948719948718014]","[0.30769230769230765, 0.30769230769230765, 0.22222223235042754, 0.2222221867735036, 0.22222223235042754]","[0.22222221422222108, 0.22222225022222608, 0.22222221422222105, 0.22222219622221895, 0.22222221422222116]",642,"[0.17948719594551288, 0.22222223235042754, 0.11111111617521377, 0.07692307692307691, 0.15384615384615383]","[0.22222223235042754, 0.22222223235042754, 0.11111111617521377, 0.11111111617521377, 0.2222221867735036]","[0.17948719948718006, 0.3076922676923066, 0.15384613384615298, 0.07692306692307649, 0.1538461338461534]","[0.17948719594551288, 0.30769230769230765, 0.15384615384615383, 0.07692307692307691, 0.15384615384615383]","[0.22222221422222105, 0.22222221422222116, 0.11111112511111304, 0.11111110711111052, 0.222222196222219]"
"[0.2222222222222222, 0.2222222222222222, 0.2500000000000001, 0.2222222222222222, 0.2222222222222222]","[0.22222222404040337, 0.22222222404040465, 0.24999999590909144, 0.22222222404040326, 0.222222224040404]","[0.2222222222222222, 0.2222222222222222, 0.2222222272222223, 0.2222222222222222, 0.2222222222222222]","[0.22222222404040337, 0.22222222404040398, 0.11111111202020219, 0.08333333196969694, 0.2222222240404035]","[0.22222222404040376, 0.2222222240404046, 0.2499999959090915, 0.2222222240404032, 0.2222222240404042]","[0.2222222222222222, 0.2222222222222222, 0.2500000000000001, 0.2222222222222222, 0.2222222222222222]","[0.22222222404040348, 0.2222222240404047, 0.22222222404040473, 0.22222222404040348, 0.22222222404040382]",643,"[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.08333333333333337, 0.2222222222222222]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.11111110611111108, 0.2222222222222222]","[0.22222222404040376, 0.22222222404040398, 0.11111111202020163, 0.08333333196970039, 0.2222222122222206]","[0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.08333333333333337, 0.2222222222222222]","[0.22222222404040348, 0.22222222404040398, 0.11111111202020219, 0.1111111038383833, 0.2222222240404035]"
"[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.18518519011111093, 0.22222222222222224]","[0.26666664266666684, 0.26666664266666684, 0.2222222222222221, 0.18518517518518457, 0.26666664266666684]","[0.26666665484444463, 0.26666665484444463, 0.1555555634370369, 0.1555555634370369, 0.26666665484444463]","[0.2222222222222221, 0.18518517518518457, 0.13333332133333342, 0.06666666066666671, 0.15555557155555544]","[0.2222222222222221, 0.22222222222222265, 0.2222222222222221, 0.18518517518518457, 0.2222222222222221]","[0.26666665484444463, 0.26666665484444463, 0.22222222222222224, 0.18518519011111093, 0.26666665484444463]","[0.26666664266666684, 0.26666664266666684, 0.15555557155555533, 0.15555557155555544, 0.26666664266666684]",644,"[0.22222222222222224, 0.18518519011111093, 0.13333332742222231, 0.06666666371111116, 0.1555555634370369]","[0.26666665484444463, 0.26666665484444463, 0.13333332742222231, 0.06666666371111116, 0.1555555634370369]","[0.2222222222222221, 0.18518517518518457, 0.2222222222222221, 0.11111111111111105, 0.18518517518518457]","[0.22222222222222224, 0.18518519011111093, 0.22222222222222224, 0.11111111111111112, 0.1851851753333336]","[0.26666664266666684, 0.26666664266666684, 0.13333332133333342, 0.06666666066666671, 0.15555557155555544]"
"[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.18518518984567903, 0.2222222222222222]","[0.24999997999999918, 0.24999997999999912, 0.22222221793650765, 0.18750000500000016, 0.24999997999999912]","[0.2345679323045274, 0.2345678856995882, 0.2222222222222222, 0.2222222222222222, 0.2345678856995882]","[0.18750000500000016, 0.1851851880423282, 0.12499998999999956, 0.06250001500000066, 0.12499998999999959]","[0.22222221793650768, 0.22222223722222326, 0.22222221793650765, 0.1851851880423282, 0.22222221793650765]","[0.2345679323045274, 0.2345678856995882, 0.2222222222222222, 0.2222222222222222, 0.2345678856995882]","[0.24999997999999918, 0.24999997999999912, 0.18750004500000197, 0.18750000500000016, 0.24999997999999912]",645,"[0.2222222222222222, 0.18518518984567903, 0.1172839428497941, 0.07407407407407407, 0.1172839661522637]","[0.2222222222222222, 0.2345678856995882, 0.1172839428497941, 0.07407407407407407, 0.1172839661522637]","[0.22222221793650765, 0.1851851880423282, 0.22222221793650765, 0.11111110896825384, 0.1851851880423283]","[0.2222222222222222, 0.18518518984567903, 0.2222222082407407, 0.1111111111111111, 0.18518518984567903]","[0.18750000500000016, 0.24999997999999912, 0.12499998999999956, 0.06250001500000066, 0.12499998999999959]"
"[0.23076924576923025, 0.23076922410256434, 0.23076922410256434, 0.15384616384615346, 0.23076922410256434]","[0.23076924576923075, 0.23076922410256423, 0.23076922410256384, 0.22222218722222375, 0.23076922410256406]","[0.2222222322222222, 0.2222222322222222, 0.2222222322222222, 0.2222221872222222, 0.2222222322222222]","[0.22222218722222375, 0.22222223222222176, 0.22222223222222176, 0.07692308192307691, 0.11111111611111091]","[0.23076924576923075, 0.23076922410256423, 0.23076922410256406, 0.15384615301282048, 0.23076922410256406]","[0.23076924576923025, 0.23076922410256434, 0.23076922410256434, 0.2222221872222222, 0.23076922410256434]","[0.22222223222222173, 0.22222223222222182, 0.22222223222222176, 0.22222218722222375, 0.22222223222222176]",646,"[0.2222221872222222, 0.2222222322222222, 0.2222222322222222, 0.07692308192307676, 0.1111111161111111]","[0.2222221872222222, 0.2222222322222222, 0.2222222322222222, 0.1111111161111111, 0.1111111161111111]","[0.23076922410256423, 0.23076922410256406, 0.23076922410256406, 0.07692308192307691, 0.15384615301282048]","[0.23076922410256434, 0.23076922410256434, 0.23076922410256434, 0.07692308192307676, 0.15384616384615346]","[0.22222218722222375, 0.22222223222222176, 0.22222223222222176, 0.11111111611111088, 0.11111111611111091]"
"[0.22222222222222224, 0.25000001130434774, 0.22222222222222224, 0.2222222071497586, 0.22222222222222224]","[0.22222222222222202, 0.25000000899999864, 0.22222222222222232, 0.22222219422222614, 0.22222223022222087]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.18518518999999992, 0.22222222222222224]","[0.22222222222222202, 0.18518519018518556, 0.08333333633333345, 0.11111111111111091, 0.1851851901851857]","[0.2222222302222212, 0.25000000899999864, 0.22222223022222087, 0.22222219422222622, 0.22222223022222087]","[0.22222222222222224, 0.25000001130434774, 0.22222222222222224, 0.2222222071497586, 0.22222222222222224]","[0.2222222222222218, 0.22222222222222285, 0.22222222222222263, 0.18518519018518523, 0.2222222222222218]",647,"[0.22222222222222224, 0.18518518999999992, 0.08333333710144925, 0.11111111111111112, 0.18518518999999992]","[0.22222222222222224, 0.18518518999999992, 0.22222220777777796, 0.11111111111111112, 0.18518518999999992]","[0.22222223022222065, 0.2222222302222208, 0.08333333633333294, 0.11111111511111016, 0.22222219422222636]","[0.22222222222222224, 0.22222222222222224, 0.08333333710144925, 0.11111111111111112, 0.2222222071497586]","[0.2222222222222218, 0.18518519018518556, 0.22222220722222152, 0.11111111111111091, 0.1851851901851857]"
"[0.22222223217094103, 0.22222223217094103, 0.22222223217094106, 0.2222221874017064, 0.22222223217094103]","[0.23076913076922528, 0.23076945576924318, 0.22222223222222368, 0.23076913076922528, 0.23076913076922528]","[0.23076913128204898, 0.2307694546153898, 0.21538469497436083, 0.23076913128204898, 0.23076913128204898]","[0.22222223222222368, 0.22222223222222354, 0.07692315192308107, 0.10769234769230991, 0.21538469538461982]","[0.22222223222222368, 0.22222223222222307, 0.22222223222222368, 0.22222218722221793, 0.22222223222222368]","[0.23076913128204898, 0.2307694546153898, 0.22222223217094106, 0.23076913128204898, 0.23076913128204898]","[0.23076913076922528, 0.23076945576924318, 0.21538469538461982, 0.23076913076922528, 0.23076913076922528]",648,"[0.22222223217094106, 0.22222223217094103, 0.07692315153846327, 0.10769234748718041, 0.21538469497436083]","[0.23076913128204898, 0.23076913128204898, 0.07692315153846327, 0.10769234748718041, 0.21538469497436083]","[0.22222223222222368, 0.22222223222222307, 0.11111111611111153, 0.11111111611111184, 0.22222218722221793]","[0.22222223217094103, 0.22222223217094103, 0.11111111608547052, 0.11111111608547053, 0.2222221874017064]","[0.23076913076922528, 0.23076913076922528, 0.07692315192308107, 0.10769234769230991, 0.21538469538461982]"
"[0.22916664837239484, 0.2500000439062524, 0.22916664837239484, 0.22916664837239484, 0.22916664837239484]","[0.22222223222222154, 0.26666666666666716, 0.2222222172222225, 0.22222221722222232, 0.22222221722222252]","[0.22222231979166834, 0.333333216249998, 0.22222231979166834, 0.22222231979166834, 0.22222231979166834]","[0.22222221722222288, 0.11111111611111053, 0.06666666666666587, 0.08333334333333511, 0.22222221722222252]","[0.2222222322222212, 0.2666666666666673, 0.22222221722222235, 0.2222222172222223, 0.22222221722222263]","[0.22916664837239484, 0.333333216249998, 0.22916664837239484, 0.22916664837239484, 0.22916664837239484]","[0.22222223222222168, 0.25000003000000415, 0.22222221722222238, 0.22222221722222235, 0.22222221722222243]",649,"[0.22222231979166834, 0.11111115989583417, 0.0625000109765631, 0.0833333479687508, 0.22222231979166834]","[0.22222231979166834, 0.11111115989583417, 0.11111107208333268, 0.11111107208333268, 0.22222231979166834]","[0.2222222172222224, 0.22222221722222246, 0.06666666666666698, 0.08888888888888902, 0.2222222172222219]","[0.22916664837239484, 0.22916664837239484, 0.0625000109765631, 0.0833333479687508, 0.22916664837239484]","[0.22222221722222288, 0.11111111611111053, 0.0833333433333342, 0.08333334333333511, 0.22222221722222243]"
"[0.22222225722222178, 0.27777772777777854, 0.22222221222222235, 0.22222221222222235, 0.22222225722222178]","[0.2222222572222229, 0.27777772777778004, 0.22222221222222152, 0.22222221222222233, 0.222222257222222]","[0.22222225722222178, 0.24999995500000063, 0.22222221222222235, 0.22222221222222235, 0.22222225722222178]","[0.2222222122222224, 0.22222225722222191, 0.05555554555555525, 0.111111106111112, 0.22222221222222194]","[0.22222225722222153, 0.2777777277777801, 0.22222221222222152, 0.22222221222222235, 0.22222225722222202]","[0.22222225722222178, 0.27777772777777854, 0.22222221222222235, 0.22222221222222235, 0.22222225722222178]","[0.2222222572222228, 0.24999995499999964, 0.22222221222222177, 0.22222221222222258, 0.2222222572222222]",650,"[0.22222221222222235, 0.22222225722222178, 0.0555555455555557, 0.11111110611111118, 0.22222221222222235]","[0.22222221222222235, 0.22222225722222178, 0.08333331833333354, 0.11111110611111118, 0.22222221222222235]","[0.22222221222222177, 0.22222225722222191, 0.055555545555556335, 0.11111110611111208, 0.22222220222222208]","[0.22222221222222235, 0.22222225722222178, 0.0555555455555557, 0.11111110611111118, 0.22222221222222235]","[0.2222222122222224, 0.22222225722222191, 0.08333331833333324, 0.111111106111112, 0.22222221222222194]"
"[0.22222221709064358, 0.22222224018274742, 0.22222221709064358, 0.22222220554459166, 0.22222221709064358]","[0.22222221422222127, 0.29999996400000084, 0.22222221422222127, 0.22222219622221906, 0.22222221422222127]","[0.21052633158933404, 0.31578934728532776, 0.21052633158933404, 0.21052633158933404, 0.21052633158933404]","[0.20000001599999961, 0.20000001599999961, 0.11111112511111282, 0.09999998800000029, 0.20000001599999961]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221906, 0.22222221422222127]","[0.22222221709064358, 0.31578934728532776, 0.22222221709064358, 0.22222220554459166, 0.22222221709064358]","[0.20000001599999961, 0.29999996400000084, 0.20000001599999964, 0.20000001599999961, 0.20000001599999961]",651,"[0.21052633158933404, 0.21052633158933404, 0.11111112009137371, 0.10526311576177591, 0.21052633158933404]","[0.21052633158933404, 0.21052633158933404, 0.15789467364266388, 0.10526311576177591, 0.21052633158933404]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221906]","[0.22222221709064358, 0.22222221709064358, 0.11111112009137371, 0.11111110854532179, 0.22222220554459166]","[0.20000001599999961, 0.20000001599999961, 0.14999998200000042, 0.09999998800000029, 0.20000001599999961]"
"[0.2352940777777776, 0.23529416250000015, 0.2156862944444445, 0.2156862944444445, 0.2352940777777776]","[0.23529407764706234, 0.23529416264705497, 0.22222221422222194, 0.2222222142222221, 0.23529407764706195]","[0.22222222632641303, 0.22222222632641303, 0.2222222210495963, 0.22222222632641303, 0.22222222632641303]","[0.21568629450980226, 0.2222222142222221, 0.07843138754901832, 0.11111110711111119, 0.21568629450980226]","[0.23529407764706234, 0.23529416264705497, 0.21568629450980226, 0.2156862945098024, 0.23529407764706195]","[0.2352940777777776, 0.23529416250000015, 0.2222222210495963, 0.22222222632641303, 0.2352940777777776]","[0.22222221422222238, 0.22222225022222256, 0.22222221422222194, 0.2222222142222221, 0.22222221422222194]",652,"[0.2156862944444445, 0.22222222632641303, 0.07843138750000006, 0.11111111052479815, 0.2156862944444445]","[0.2222222210495963, 0.22222222632641303, 0.11111111316320652, 0.11111111052479815, 0.2222222210495963]","[0.21568629450980226, 0.23529407764706212, 0.07843138754901832, 0.11764703882353114, 0.21568629450980226]","[0.2156862944444445, 0.2352940777777776, 0.07843138750000006, 0.1176470388888888, 0.2156862944444445]","[0.22222221422222205, 0.2222222142222221, 0.11111112511111143, 0.11111110711111119, 0.22222221422222194]"
"[0.22222221952380947, 0.22222222559523813, 0.22222221952380947, 0.22222222559523822, 0.22222222559523822]","[0.2222222222222229, 0.22222222622222154, 0.22222221422222255, 0.22222221422222246, 0.2222222262222221]","[0.22222221952380947, 0.22222222559523813, 0.22222221952380947, 0.22222222559523822, 0.22222222559523822]","[0.2222222222222229, 0.1111111111111108, 0.11111111311111077, 0.11111111111111147, 0.22222221422222277]","[0.2222222262222222, 0.22222222622222199, 0.22222221422222255, 0.22222221422222244, 0.2222222262222221]","[0.22222221952380947, 0.22222222559523813, 0.22222221952380947, 0.22222222559523822, 0.22222222559523822]","[0.2222222222222229, 0.22222222622222151, 0.22222221422222202, 0.22222221422222324, 0.22222222622222212]",653,"[0.22222221952380947, 0.11111110976190473, 0.11111111279761907, 0.11111110976190473, 0.22222222559523822]","[0.22222221952380947, 0.11111110976190473, 0.11111111279761907, 0.11111110976190473, 0.22222222559523822]","[0.2222222142222228, 0.22222222622222199, 0.11111111311111048, 0.11111110711111119, 0.22222221422222235]","[0.22222221952380947, 0.22222221041666634, 0.11111111279761907, 0.11111110976190473, 0.22222222559523822]","[0.2222222222222229, 0.1111111111111108, 0.11111111311111077, 0.11111111111111147, 0.22222221422222277]"
"[0.28571427361904733, 0.28571427361904733, 0.14285713680952367, 0.19047619652380965, 0.19047619652380965]","[0.2857142657142851, 0.28571426571428504, 0.22222218722221831, 0.22222218722221831, 0.2222222322222234]","[0.22222223734127003, 0.22222223734127003, 0.2222222146626983, 0.2222222146626983, 0.22222223734127003]","[0.19047620047619077, 0.2222222322222234, 0.11111111611111163, 0.11111111611111166, 0.14285713285714252]","[0.2857142657142851, 0.28571426571428504, 0.14285713285714252, 0.19047620047619077, 0.19047620047619096]","[0.28571427361904733, 0.28571427361904733, 0.2222222146626983, 0.2222222146626983, 0.22222223734127003]","[0.22222223222222331, 0.22222223222222326, 0.22222218722221831, 0.22222218722221848, 0.2222222322222234]",654,"[0.19047619652380965, 0.22222223734127003, 0.11111111867063501, 0.11111111867063501, 0.14285713680952367]","[0.2222222146626983, 0.22222223734127003, 0.11111111867063501, 0.11111111867063501, 0.2222222146626983]","[0.19047620047619077, 0.28571426571428504, 0.14285713285714252, 0.14285713285714252, 0.14285713285714252]","[0.19047619652380965, 0.28571427361904733, 0.14285713680952367, 0.14285713680952367, 0.14285713680952367]","[0.22222218722221831, 0.22222223222222326, 0.11111111611111163, 0.11111111611111166, 0.22222218722221845]"
"[0.26666665348148233, 0.2000000065925922, 0.2000000065925922, 0.19999999835185198, 0.2000000065925922]","[0.26666665333333284, 0.24999995499999955, 0.2222222122222221, 0.2222222122222221, 0.22222225722222258]","[0.2222222419999993, 0.24999998516666713, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.2000000066666669, 0.19999999833333326, 0.08333331833333318, 0.11111110611111105, 0.19999999833333326]","[0.26666665333333284, 0.20000000666666692, 0.2000000066666669, 0.19999999833333326, 0.2000000066666669]","[0.26666665348148233, 0.24999998516666713, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222225722222258, 0.24999995499999955, 0.2222222122222221, 0.2222222122222221, 0.22222225722222258]",655,"[0.2000000065925922, 0.19999999835185198, 0.08333332838888906, 0.1111111111111111, 0.19999999835185198]","[0.2222222222222222, 0.2222222222222222, 0.08333332838888906, 0.1111111111111111, 0.2222222222222222]","[0.2000000066666669, 0.19999999833333326, 0.19999999833333332, 0.13333332666666642, 0.19999999833333326]","[0.2000000065925922, 0.19999999835185198, 0.19999999835185198, 0.13333332674074116, 0.19999999835185198]","[0.2222222122222221, 0.22222225722222258, 0.08333331833333318, 0.11111110611111105, 0.2222222122222221]"
"[0.22222222123333343, 0.22222223013333336, 0.22222222123333343, 0.22222221678333334, 0.22222221678333334]","[0.22222222097222227, 0.22222223222222226, 0.2666666616666667, 0.22222221534722225, 0.2222222153472221]","[0.20000000247222233, 0.20000000247222233, 0.266666661722222, 0.20000000247222233, 0.20000000247222238]","[0.2000000025, 0.2000000025, 0.11111111611111113, 0.11111111048611114, 0.2000000025]","[0.22222222097222227, 0.22222223222222226, 0.22222222097222227, 0.22222221534722225, 0.2222222153472221]","[0.22222222123333343, 0.22222223013333336, 0.266666661722222, 0.22222221678333334, 0.22222221678333334]","[0.2000000025, 0.2000000025, 0.2666666616666667, 0.2000000025, 0.2000000025]",656,"[0.20000000247222233, 0.20000000247222233, 0.11111111506666668, 0.11111111061666672, 0.20000000247222233]","[0.20000000247222233, 0.20000000247222233, 0.19999999011111066, 0.133333330861111, 0.20000000247222233]","[0.2222222153472221, 0.22222221534722225, 0.11111111611111113, 0.11111111048611114, 0.2222222153472221]","[0.22222221678333334, 0.22222221678333334, 0.11111111506666668, 0.11111111061666672, 0.22222221678333334]","[0.2000000025, 0.2000000025, 0.19999998999999996, 0.13333333083333335, 0.2000000025]"
